"date","seconds","heartrate","time","calendarDate"
2025-08-20,1755708120000,73,2025-08-20 12:42:00,2025-08-20
2025-08-20,1755708240000,72,2025-08-20 12:44:00,2025-08-20
2025-08-20,1755708360000,72,2025-08-20 12:46:00,2025-08-20
2025-08-20,1755708480000,72,2025-08-20 12:48:00,2025-08-20
2025-08-20,1755708600000,75,2025-08-20 12:50:00,2025-08-20
2025-08-20,1755708720000,74,2025-08-20 12:52:00,2025-08-20
2025-08-20,1755708840000,88,2025-08-20 12:54:00,2025-08-20
2025-08-20,1755708960000,93,2025-08-20 12:56:00,2025-08-20
2025-08-20,1755709080000,81,2025-08-20 12:58:00,2025-08-20
2025-08-20,1755709200000,80,2025-08-20 13:00:00,2025-08-20
2025-08-20,1755709320000,79,2025-08-20 13:02:00,2025-08-20
2025-08-20,1755709440000,79,2025-08-20 13:04:00,2025-08-20
2025-08-20,1755709560000,95,2025-08-20 13:06:00,2025-08-20
2025-08-20,1755709680000,92,2025-08-20 13:08:00,2025-08-20
